Criteria ID,City
9031292,"El Cajon, CA"
9028721,"Aurora, CO"
9028751,"Centennial, CO"
9028784,"Denver, CO"
9028724,"Commerce City, CO"
9028716,"Aurora, CO"
9031290,"El Cajon, CA"
9031276,"National City, CA"
9031273,"La Mesa, CA"
9028789,"Lakewood, CO"
9028714,"Aurora, CO"
9028719,"Aurora, CO"
9028749,"Littleton, CO"
9028723,"Broomfield, CO"
9028792,"Thornton, CO"
9031297,"Fallbrook, CA"
9031309,"Poway, CA"
9030112,"Avondale, AZ"
9029976,"Phoenix, AZ"
9030009,"Phoenix, AZ"
9029967,"Phoenix, AZ"
9030070,"Scottsdale, AZ"
9030071,"Scottsdale, AZ"
9030159,"Peoria, AZ"
9029981,"Phoenix, AZ"
9029969,"Phoenix, AZ"
9030163,"Goodyear, AZ"
9030123,"El Mirage, AZ"
9030001,"Phoenix, AZ"
9030089,"Tempe, AZ"
9029987,"Phoenix, AZ"
9030141,"Waddell, AZ"
9029980,"Phoenix, AZ"
9030126,"Goodyear, AZ"
9029996,"Phoenix, AZ"
9029994,"Phoenix, AZ"
9029988,"Phoenix, AZ"
9030106,"Glendale, AZ"
9030075,"Scottsdale, AZ"
9029971,"Phoenix, AZ"
9029968,"Phoenix, AZ"
9030072,"Scottsdale, AZ"
9029998,"Phoenix, AZ"
9030008,"Phoenix, AZ"
9030087,"Tempe, AZ"
9029975,"Phoenix, AZ"
9030105,"Glendale, AZ"
9029983,"Phoenix, AZ"
9029999,"Phoenix, AZ"
9030014,"Casa Grande, AZ"
9030020,"Maricopa, AZ"
9030019,"Maricopa, AZ"
9030034,"Mesa, AZ"
9030021,"Queen Creek, AZ"
9030011,"Apache Junction, AZ"
9030145,"Wittmann, AZ"
9030033,"Mesa, AZ"
9030029,"Mesa, AZ"
9030028,"Casa Grande, AZ"
9030076,"Scottsdale, AZ"
9029997,"Phoenix, AZ"
9030080,"Scottsdale, AZ"
9030017,"Florence, AZ"
9030165,"Buckeye, AZ"
9030157,"Peoria, AZ"
9030098,"Gilbert, AZ"
9029982,"Phoenix, AZ"
9029984,"Phoenix, AZ"
9030081,"Scottsdale, AZ"
9029993,"Phoenix, AZ"
9030132,"Peoria, AZ"
9053835,"Queen Creek, AZ"
9030003,"Phoenix, AZ"
9030030,"Mesa, AZ"
9029991,"Phoenix, AZ"
9029978,"Phoenix, AZ"
9030015,"Coolidge, AZ"
9030055,"Gilbert, AZ"
9030032,"Mesa, AZ"
9030050,"Chandler, AZ"
9030095,"Gilbert, AZ"
9030012,"Apache Junction, AZ"
9030096,"Gilbert, AZ"
9030161,"Surprise, AZ"
9053836,"Queen Creek, AZ"
9028772,"Denver, CO"
9028802,"Denver, CO"
9028731,"Wheat Ridge, CO"
9028824,"Golden, CO"
9028797,"Northglenn, CO"
9028722,"Broomfield, CO"
9028770,"Denver, CO"
9031301,"Lakeside, CA"
9028709,"Arvada, CO"
9028744,"Greenwood Village, CO"
9028753,"Highlands Ranch, CO"
9028710,"Arvada, CO"
9028708,"Arvada, CO"
9028783,"Denver, CO"
9028712,"Aurora, CO"
9028804,"Denver, CO"
9028711,"Arvada, CO"
9028750,"Centennial, CO"
9028779,"Lakewood, CO"
9028752,"Littleton, CO"
9028730,"Westminster, CO"
9028796,"Northglenn, CO"
9028791,"Lakewood, CO"
9028808,"Denver, CO"
9028786,"Denver, CO"
9028782,"Denver, CO"
9028758,"Highlands Ranch, CO"
9028803,"Northglenn, CO"
